Sample Name	Protocol REF	Parameter Value[chromatography instrument]	Date	Performer	Extract Name	Protocol REF	Parameter Value[run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	MS Assay Name	Date	Performer	Raw Spectral Data File
Group-004.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-004.Subject-001.user_defined_sample_type.1.Extract-004	GC-negative mass spectrometry	10	GC	Agilent 5975C MSD	negative	Group-004.Subject-001.user_defined_sample_type.1.Extract-004.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_004_001.mzml
Group-004.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-004.Subject-001.user_defined_sample_type.1.Extract-004	GC-negative mass spectrometry	11	GC	Agilent 5975C MSD	negative	Group-004.Subject-001.user_defined_sample_type.1.Extract-004.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_004_002.mzml
Group-005.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-005.Subject-001.user_defined_sample_type.1.Extract-005	GC-negative mass spectrometry	14	GC	Agilent 5975C MSD	negative	Group-005.Subject-001.user_defined_sample_type.1.Extract-005.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_005_002.mzml
Group-005.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-005.Subject-001.user_defined_sample_type.1.Extract-005	GC-negative mass spectrometry	13	GC	Agilent 5975C MSD	negative	Group-005.Subject-001.user_defined_sample_type.1.Extract-005.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_005_001.mzml
Group-005.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-005.Subject-001.user_defined_sample_type.1.Extract-005	GC-negative mass spectrometry	15	GC	Agilent 5975C MSD	negative	Group-005.Subject-001.user_defined_sample_type.1.Extract-005.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_005_003.mzml
Group-006.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-006.Subject-001.user_defined_sample_type.1.Extract-006	GC-negative mass spectrometry	18	GC	Agilent 5975C MSD	negative	Group-006.Subject-001.user_defined_sample_type.1.Extract-006.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_006_003.mzml
Group-006.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-006.Subject-001.user_defined_sample_type.1.Extract-006	GC-negative mass spectrometry	16	GC	Agilent 5975C MSD	negative	Group-006.Subject-001.user_defined_sample_type.1.Extract-006.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_006_001.mzml
Group-006.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-006.Subject-001.user_defined_sample_type.1.Extract-006	GC-negative mass spectrometry	17	GC	Agilent 5975C MSD	negative	Group-006.Subject-001.user_defined_sample_type.1.Extract-006.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_006_002.mzml
Group-007.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-007.Subject-001.user_defined_sample_type.1.Extract-007	GC-negative mass spectrometry	21	GC	Agilent 5975C MSD	negative	Group-007.Subject-001.user_defined_sample_type.1.Extract-007.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_007_003.mzml
Group-007.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-007.Subject-001.user_defined_sample_type.1.Extract-007	GC-negative mass spectrometry	20	GC	Agilent 5975C MSD	negative	Group-007.Subject-001.user_defined_sample_type.1.Extract-007.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_007_002.mzml
Group-007.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-007.Subject-001.user_defined_sample_type.1.Extract-007	GC-negative mass spectrometry	19	GC	Agilent 5975C MSD	negative	Group-007.Subject-001.user_defined_sample_type.1.Extract-007.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_007_001.mzml
Group-008.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-008.Subject-001.user_defined_sample_type.1.Extract-008	GC-negative mass spectrometry	22	GC	Agilent 5975C MSD	negative	Group-008.Subject-001.user_defined_sample_type.1.Extract-008.MSASSAY-001	2018-07-02	Frank	A100_GC_negative_008_001.mzml
Group-008.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-008.Subject-001.user_defined_sample_type.1.Extract-008	GC-negative mass spectrometry	24	GC	Agilent 5975C MSD	negative	Group-008.Subject-001.user_defined_sample_type.1.Extract-008.MSASSAY-003	2018-07-02	Frank	A100_GC_negative_008_003.mzml
Group-008.Subject-001.user_defined_sample_type.1	metabolite extraction	Agilent 6890 GC	2018-07-02	Alice	Group-008.Subject-001.user_defined_sample_type.1.Extract-008	GC-negative mass spectrometry	23	GC	Agilent 5975C MSD	negative	Group-008.Subject-001.user_defined_sample_type.1.Extract-008.MSASSAY-002	2018-07-02	Frank	A100_GC_negative_008_002.mzml
